cv_year,train_start,train_end,round,model,picked,actual_pos,fantasy_pts,season_frac,half,third,quarter,half_label,third_label,quarter_label
2014,2010,2013,12,lgb_reg,kvyat,9,18,0.5789473684210527,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,12,ensemble,button,6,10,0.5789473684210527,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,13,ridge,raikkonen,9,18,0.631578947368421,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,13,rf_reg,raikkonen,9,18,0.631578947368421,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,13,rf_clf,vergne,13,12,0.631578947368421,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,13,xgb_reg,button,8,15,0.631578947368421,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,13,xgb_clf,vergne,13,12,0.631578947368421,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,13,xgb_ranker,sutil,15,8,0.631578947368421,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,13,lgb_reg,perez,7,12,0.631578947368421,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,13,ensemble,raikkonen,9,18,0.631578947368421,2,2,3,H2 (late),T2 (mid),Q3 (51–75%)
2014,2010,2013,14,ridge,kevin_magnussen,10,25,0.6842105263157895,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,14,rf_reg,kvyat,14,10,0.6842105263157895,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,14,rf_clf,perez,7,12,0.6842105263157895,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
2014,2010,2013,14,xgb_reg,grosjean,13,12,0.6842105263157895,2,3,3,H2 (late),T3 (late),Q3 (51–75%)
