lgb_reg,lgbm_ranker,rf_clf,rf_reg,ridge,xgb_clf,xgb_ranker,xgb_reg
1.56018787244774e-23,1.563979809081401e-20,9.635113177292918e-20,7.144208467633144e-20,2.842011125840346e-19,1.0,4.320796699789531e-22,1.2265751081247206e-24
3.2881193637934014e-41,1.0,3.3314033148527567e-18,4.114717303826317e-28,2.5762560143682094e-45,7.96994722815371e-26,3.2592240648788254e-26,6.362286493269232e-28
2.9822667251076417e-158,5.217339408570213e-18,1.4289424781389625e-120,0.0,1.4103196067576573e-197,1.0,3.0298984768881556e-59,3.3420785163461792e-62
6.141777152215189e-78,3.3281591159974984e-27,2.924246462138169e-20,2.95523100831468e-27,6.431245172839739e-34,3.684785190570682e-24,1.0,1.5238231524393184e-20
3.5746374992888294e-30,1.1146765235706851e-18,0.9999999999999993,5.454044445606807e-16,1.3591308147212114e-199,9.304031651673937e-17,1.805670168192208e-16,1.0643032931990802e-21
1.461392539722212e-60,2.138614216176062e-29,1.0,1.063213010231173e-16,7.047664848608446e-115,9.998513515653721e-17,5.030051187950961e-92,5.942282800009387e-138
3.6535156556856653e-29,6.007410659522651e-16,0.9999999999999993,2.1511607415124654e-29,7.443384885929763e-30,1.0863216590399816e-19,5.345047649630024e-29,5.8727559330719776e-24
1.203168226232618e-20,1.611212769233921e-18,0.9999999999999996,2.6286679774137675e-18,4.938256688553896e-21,5.207991569523983e-18,2.877085749484742e-17,4.274048712083461e-16
2.226947097478754e-110,1.4146053477321704e-125,3.1817410224855126e-62,0.0,9.868119579376164e-119,1.0,6.429615623600139e-120,1.738065364196218e-17
0.0,4.437834833731975e-22,2.0832068980961778e-237,5.239305942378315e-16,2.749200083589281e-237,8.049517372980929e-223,0.9999999999999996,3.198093879623733e-226
1.4382708833668148e-40,1.0,1.7465775770987363e-29,6.575758572878198e-35,8.312029941208554e-38,7.515129733251103e-36,2.5234434898293676e-19,4.8777847134274424e-39
1.4413883026929976e-20,0.9999999999999998,2.3355653582359528e-17,1.2655352322717432e-30,5.442756465147934e-25,3.347352990295628e-24,1.6591903535495193e-16,1.2829334404128597e-19
9.990663295640674e-104,2.5716236241426585e-69,1.0,0.0,1.7865980083537782e-19,1.2085691638143901e-57,2.0800494994717616e-25,1.2615966045912657e-137
7.603464195173761e-36,0.9999999999999956,3.328492702406588e-19,1.6522404663511707e-25,9.945678208627774e-36,2.6379435178817153e-19,4.491832601905104e-15,1.192054493887205e-19
1.4350599047649604e-18,5.608917455297447e-17,2.1224002149540753e-17,1.3778437938256692e-18,1.9332247541962914e-17,6.611987132632415e-17,1.0,1.20995233015285e-27
3.6264793488262035e-49,1.2440948523379452e-17,1.0,8.421263481162765e-21,1.5798649191042134e-23,2.449454851406558e-19,2.089238289991003e-17,1.9196092418165514e-21
4.885515857431532e-36,6.761025342295095e-35,3.131440281064857e-19,1.1534511476109706e-34,2.5591546147435877e-29,1.0,7.323100418476474e-19,2.8361793590894785e-18
