year,round,driverId,driverRef,drv_mechanical_dnf_rate
2010,4,4,alonso,0.0
2010,5,4,alonso,0.0
2010,6,4,alonso,0.0
2010,7,4,alonso,0.0
2010,8,4,alonso,0.0
2010,9,4,alonso,0.0
2010,10,4,alonso,0.0
2010,11,4,alonso,0.0
2010,12,4,alonso,0.0
2010,13,4,alonso,0.0
2010,14,4,alonso,0.0
2010,15,4,alonso,0.0
2010,16,4,alonso,0.0
2010,17,4,alonso,0.0
2010,18,4,alonso,0.0
2010,19,4,alonso,0.0
2011,1,4,alonso,0.0
2011,2,4,alonso,0.0
2011,3,4,alonso,0.0
2011,4,4,alonso,0.0
2011,5,4,alonso,0.0
2011,6,4,alonso,0.0
2011,7,4,alonso,0.0
2011,8,4,alonso,0.0
2011,9,4,alonso,0.0
2011,10,4,alonso,0.0
2011,11,4,alonso,0.0
2011,12,4,alonso,0.0
2011,13,4,alonso,0.0
2011,14,4,alonso,0.0
2011,15,4,alonso,0.0
2011,16,4,alonso,0.0
2011,17,4,alonso,0.0
2011,18,4,alonso,0.0
2011,19,4,alonso,0.0
2012,1,4,alonso,0.0
2012,2,4,alonso,0.0
2012,3,4,alonso,0.0
2012,4,4,alonso,0.0
2012,5,4,alonso,0.0
2012,6,4,alonso,0.0
2012,7,4,alonso,0.0
2012,8,4,alonso,0.0
2012,9,4,alonso,0.0
2012,10,4,alonso,0.0
2012,11,4,alonso,0.0
2012,12,4,alonso,0.0
2012,13,4,alonso,0.0
2012,14,4,alonso,0.0
2012,15,4,alonso,0.0
2012,16,4,alonso,0.0
2012,17,4,alonso,0.0
2012,18,4,alonso,0.0
2012,19,4,alonso,0.0
2012,20,4,alonso,0.0
2013,1,4,alonso,0.0
2013,2,4,alonso,0.0
2013,3,4,alonso,0.0
2013,4,4,alonso,0.0
2013,5,4,alonso,0.0
2013,6,4,alonso,0.0
2013,7,4,alonso,0.0
2013,8,4,alonso,0.0
2013,9,4,alonso,0.0
2013,10,4,alonso,0.0
2013,11,4,alonso,0.0
2013,12,4,alonso,0.0
2013,13,4,alonso,0.0
2013,14,4,alonso,0.0
2013,15,4,alonso,0.0
2013,16,4,alonso,0.0
2013,17,4,alonso,0.0
2013,18,4,alonso,0.0
2013,19,4,alonso,0.0
2014,1,4,alonso,0.0
2014,2,4,alonso,0.0
2014,3,4,alonso,0.0
2014,4,4,alonso,0.0
2014,5,4,alonso,0.0
2014,6,4,alonso,0.0
2014,7,4,alonso,0.0
2014,8,4,alonso,0.0
2014,9,4,alonso,0.0
2014,10,4,alonso,0.0
2014,11,4,alonso,0.0
2014,12,4,alonso,0.0
2014,13,4,alonso,0.0
2014,14,4,alonso,0.05
2014,15,4,alonso,0.05
2014,16,4,alonso,0.05
2014,17,4,alonso,0.05
2014,18,4,alonso,0.05
2014,19,4,alonso,0.05
2015,2,4,alonso,0.05
2015,3,4,alonso,0.05
2015,4,4,alonso,0.05
2015,5,4,alonso,0.05
2015,6,4,alonso,0.1
2015,7,4,alonso,0.15
2015,8,4,alonso,0.2
2015,9,4,alonso,0.2
2015,10,4,alonso,0.2
2015,11,4,alonso,0.2
2015,12,4,alonso,0.2
2015,13,4,alonso,0.2
2015,14,4,alonso,0.25
2015,15,4,alonso,0.25
2015,16,4,alonso,0.2
2015,17,4,alonso,0.2
2015,18,4,alonso,0.2
2015,19,4,alonso,0.2
2016,1,4,alonso,0.2
2016,3,4,alonso,0.2
2016,4,4,alonso,0.2
2016,5,4,alonso,0.2
2016,6,4,alonso,0.25
2016,7,4,alonso,0.25
2016,8,4,alonso,0.2
2016,9,4,alonso,0.2
2016,10,4,alonso,0.15
2016,11,4,alonso,0.15
2016,12,4,alonso,0.15
2016,13,4,alonso,0.15
2016,14,4,alonso,0.15
2016,15,4,alonso,0.15
2016,16,4,alonso,0.1
2016,17,4,alonso,0.1
2016,18,4,alonso,0.1
2016,19,4,alonso,0.1
2016,20,4,alonso,0.1
2016,21,4,alonso,0.1
2017,1,4,alonso,0.1
2017,2,4,alonso,0.15
2017,3,4,alonso,0.2
2017,4,4,alonso,0.2
2017,5,4,alonso,0.15
2017,7,4,alonso,0.15
2017,8,4,alonso,0.15
2017,9,4,alonso,0.1
2017,10,4,alonso,0.1
2017,11,4,alonso,0.15
2017,12,4,alonso,0.15
2017,13,4,alonso,0.2
2017,14,4,alonso,0.2
2017,15,4,alonso,0.2
2017,16,4,alonso,0.2
2017,17,4,alonso,0.2
2017,18,4,alonso,0.25
2017,19,4,alonso,0.25
2017,20,4,alonso,0.25
2018,1,4,alonso,0.25
2018,2,4,alonso,0.25
2018,3,4,alonso,0.2
2018,4,4,alonso,0.15
2018,5,4,alonso,0.15
2018,6,4,alonso,0.15
2018,7,4,alonso,0.2
2018,8,4,alonso,0.25
2018,9,4,alonso,0.25
2018,10,4,alonso,0.25
2018,11,4,alonso,0.2
2018,12,4,alonso,0.2
2018,13,4,alonso,0.15
2018,14,4,alonso,0.15
2018,15,4,alonso,0.2
2018,16,4,alonso,0.2
2018,17,4,alonso,0.2
2018,18,4,alonso,0.15
2018,19,4,alonso,0.15
2018,20,4,alonso,0.15
2018,21,4,alonso,0.15
2021,1,4,alonso,0.15
2021,2,4,alonso,0.2
2021,3,4,alonso,0.2
2021,4,4,alonso,0.2
2021,5,4,alonso,0.2
2021,6,4,alonso,0.15
2021,7,4,alonso,0.1
2021,8,4,alonso,0.1
2021,9,4,alonso,0.1
2021,10,4,alonso,0.1
2021,11,4,alonso,0.1
2021,12,4,alonso,0.1
2021,13,4,alonso,0.1
2021,14,4,alonso,0.05
2021,15,4,alonso,0.05
2021,16,4,alonso,0.05
2021,17,4,alonso,0.05
2021,18,4,alonso,0.05
2021,19,4,alonso,0.05
2021,20,4,alonso,0.05
2021,21,4,alonso,0.05
2021,22,4,alonso,0.0
2022,1,4,alonso,0.0
2022,2,4,alonso,0.0
2022,3,4,alonso,0.05
2022,4,4,alonso,0.05
2022,5,4,alonso,0.05
2022,6,4,alonso,0.05
2022,7,4,alonso,0.05
2022,8,4,alonso,0.05
2022,9,4,alonso,0.05
2022,10,4,alonso,0.05
2022,11,4,alonso,0.05
2022,12,4,alonso,0.05
2022,13,4,alonso,0.05
2022,14,4,alonso,0.05
2022,15,4,alonso,0.05
2022,16,4,alonso,0.05
2022,17,4,alonso,0.1
2022,18,4,alonso,0.15
2022,19,4,alonso,0.15
2022,20,4,alonso,0.15
2022,21,4,alonso,0.15
