circuit_id,year,collision_dnf_rate,n_starts
villeneuve,2014,0.0,22
villeneuve,2015,0.1,20
villeneuve,2016,0.09090909090909091,22
villeneuve,2017,0.0,20
villeneuve,2018,0.0,20
villeneuve,2019,0.05,20
villeneuve,2022,0.05,20
villeneuve,2023,0.0,20
villeneuve,2024,0.2,20
yas_marina,2010,0.0,24
yas_marina,2011,0.0,24
yas_marina,2012,0.20833333333333334,24
yas_marina,2013,0.0,22
yas_marina,2014,0.05,20
yas_marina,2015,0.0,20
yas_marina,2016,0.045454545454545456,22
yas_marina,2017,0.0,20
yas_marina,2018,0.0,20
yas_marina,2019,0.0,20
yas_marina,2020,0.0,20
yas_marina,2021,0.05,20
yas_marina,2022,0.0,20
yas_marina,2023,0.0,20
yas_marina,2024,0.05,20
zandvoort,2021,0.0,20
zandvoort,2022,0.0,20
zandvoort,2023,0.1,20
zandvoort,2024,0.0,20
