year,round,race_name_tracked,model,predicted_tracked,predicted_current,actual_p10_tracked,actual_pos_tracked,actual_pos_current,fantasy_pts_tracked,fantasy_pts_current,fantasy_pts_delta,pick_changed,_merge
2025,5,Saudi Arabian Grand Prix,lgb_reg,tsunoda,norris,hadjar,19,4,1,6,5,True,both
2025,6,Miami Grand Prix,lgb_reg,tsunoda,tsunoda,tsunoda,10,10,25,25,0,False,both
2025,7,Emilia Romagna Grand Prix,lgb_reg,antonelli,alonso,tsunoda,19,11,1,18,17,True,both
2025,8,Monaco Grand Prix,lgb_reg,tsunoda,hadjar,sainz,17,6,4,10,6,True,both
2025,9,Spanish Grand Prix,lgb_reg,hadjar,hadjar,max_verstappen,7,7,12,12,0,False,both
2025,10,Canadian Grand Prix,lgb_reg,alonso,tsunoda,sainz,7,12,12,15,3,True,both
2025,11,Austrian Grand Prix,lgb_reg,antonelli,max_verstappen,ocon,19,18,1,2,1,True,both
2025,12,British Grand Prix,lgb_reg,alonso,albon,russell,9,8,18,15,-3,True,both
2025,13,Belgian Grand Prix,lgb_reg,hadjar,ocon,gasly,20,15,0,8,8,True,both
2025,14,Hungarian Grand Prix,lgb_reg,stroll,stroll,antonelli,7,7,12,12,0,False,both
2025,15,Dutch Grand Prix,lgb_reg,sainz,sainz,ocon,13,13,12,12,0,False,both
2025,16,Italian Grand Prix,lgb_reg,alonso,alonso,hadjar,19,19,1,1,0,False,both
2025,17,Azerbaijan Grand Prix,lgb_reg,russell,alonso,hadjar,2,15,2,8,6,True,both
2025,18,Singapore Grand Prix,lgb_reg,lawson,lawson,sainz,15,15,8,8,0,False,both
2025,19,United States Grand Prix,lgb_reg,sainz,lawson,alonso,20,11,0,18,18,True,both
2025,20,Mexico City Grand Prix,lgb_reg,hadjar,sainz,bortoleto,13,17,12,4,-8,True,both
2025,21,São Paulo Grand Prix,lgb_reg,bearman,hamilton,gasly,6,18,10,2,-8,True,both
2025,22,Las Vegas Grand Prix,lgb_reg,hadjar,hamilton,bearman,6,8,10,15,5,True,both
2025,23,Qatar Grand Prix,lgb_reg,alonso,lawson,tsunoda,7,9,12,18,6,True,both
2025,24,Abu Dhabi Grand Prix,lgb_reg,bortoleto,bearman,stroll,11,12,18,15,-3,True,both
2025,1,Australian Grand Prix,lgbm_ranker,bortoleto,bortoleto,hamilton,16,16,6,6,0,False,both
2025,2,Chinese Grand Prix,lgbm_ranker,albon,albon,sainz,7,7,12,12,0,False,both
2025,3,Japanese Grand Prix,lgbm_ranker,albon,albon,bearman,9,9,18,18,0,False,both
2025,4,Bahrain Grand Prix,lgbm_ranker,alonso,hamilton,bearman,15,5,8,8,0,True,both
2025,5,Saudi Arabian Grand Prix,lgbm_ranker,albon,gasly,hadjar,9,20,18,0,-18,True,both
2025,6,Miami Grand Prix,lgbm_ranker,hamilton,alonso,tsunoda,8,15,15,8,-7,True,both
2025,7,Emilia Romagna Grand Prix,lgbm_ranker,hadjar,hadjar,tsunoda,9,9,18,18,0,False,both
2025,8,Monaco Grand Prix,lgbm_ranker,albon,albon,sainz,9,9,18,18,0,False,both
2025,9,Spanish Grand Prix,lgbm_ranker,bortoleto,albon,max_verstappen,12,19,15,1,-14,True,both
2025,10,Canadian Grand Prix,lgbm_ranker,bortoleto,ocon,sainz,14,9,10,18,8,True,both
2025,11,Austrian Grand Prix,lgbm_ranker,bortoleto,hadjar,ocon,8,12,15,15,0,True,both
2025,12,British Grand Prix,lgbm_ranker,lawson,bearman,russell,19,11,1,18,17,True,both
2025,13,Belgian Grand Prix,lgbm_ranker,gasly,ocon,gasly,10,15,25,8,-17,True,both
2025,14,Hungarian Grand Prix,lgbm_ranker,antonelli,tsunoda,antonelli,10,17,25,4,-21,True,both
2025,15,Dutch Grand Prix,lgbm_ranker,antonelli,hadjar,ocon,16,3,6,4,-2,True,both
2025,16,Italian Grand Prix,lgbm_ranker,albon,albon,hadjar,7,7,12,12,0,False,both
2025,17,Azerbaijan Grand Prix,lgbm_ranker,hamilton,hamilton,hadjar,8,8,15,15,0,False,both
2025,18,Singapore Grand Prix,lgbm_ranker,bortoleto,hadjar,sainz,17,11,4,18,14,True,both
2025,19,United States Grand Prix,lgbm_ranker,hadjar,lawson,alonso,16,11,6,18,12,True,both
2025,20,Mexico City Grand Prix,lgbm_ranker,lawson,lawson,bortoleto,20,20,0,0,0,False,both
2025,21,São Paulo Grand Prix,lgbm_ranker,tsunoda,hadjar,gasly,17,8,4,15,11,True,both
2025,22,Las Vegas Grand Prix,lgbm_ranker,hamilton,hamilton,bearman,8,8,15,15,0,False,both
2025,23,Qatar Grand Prix,lgbm_ranker,hamilton,hamilton,tsunoda,12,12,15,15,0,False,both
2025,24,Abu Dhabi Grand Prix,lgbm_ranker,ocon,lawson,stroll,7,18,12,2,-10,True,both
2025,1,Australian Grand Prix,rf_clf,hadjar,hadjar,hamilton,20,20,0,0,0,False,both
2025,2,Chinese Grand Prix,rf_clf,hulkenberg,hulkenberg,sainz,15,15,8,8,0,False,both
2025,3,Japanese Grand Prix,rf_clf,bearman,bearman,bearman,10,10,25,25,0,False,both
2025,4,Bahrain Grand Prix,rf_clf,hadjar,tsunoda,bearman,13,9,12,18,6,True,both
2025,5,Saudi Arabian Grand Prix,rf_clf,albon,gasly,hadjar,9,20,18,0,-18,True,both
2025,6,Miami Grand Prix,rf_clf,ocon,ocon,tsunoda,12,12,15,15,0,False,both
2025,7,Emilia Romagna Grand Prix,rf_clf,hadjar,gasly,tsunoda,9,13,18,12,-6,True,both
2025,8,Monaco Grand Prix,rf_clf,albon,ocon,sainz,9,7,18,12,-6,True,both
2025,9,Spanish Grand Prix,rf_clf,hadjar,hadjar,max_verstappen,7,7,12,12,0,False,both
