eval_label,year,round,model,picked,actual_pos,fantasy_pts,candidate
cv_baseline_v62,2024,18,xgb_reg,colapinto,11,18,baseline_v62
cv_baseline_v62,2024,18,xgb_clf,ricciardo,18,2,baseline_v62
cv_baseline_v62,2024,18,xgb_ranker,ricciardo,18,2,baseline_v62
cv_baseline_v62,2024,18,lgb_reg,colapinto,11,18,baseline_v62
cv_baseline_v62,2024,18,lgbm_ranker,colapinto,11,18,baseline_v62
cv_baseline_v62,2024,18,ensemble,ricciardo,18,2,baseline_v62
cv_baseline_v62,2024,18,ensemble_test,ricciardo,18,2,baseline_v62
cv_baseline_v62,2024,19,ridge,hamilton,20,0,baseline_v62
cv_baseline_v62,2024,19,rf_reg,gasly,12,15,baseline_v62
cv_baseline_v62,2024,19,rf_clf,stroll,15,8,baseline_v62
cv_baseline_v62,2024,19,xgb_reg,sainz,2,2,baseline_v62
cv_baseline_v62,2024,19,xgb_clf,stroll,15,8,baseline_v62
cv_baseline_v62,2024,19,xgb_ranker,tsunoda,14,10,baseline_v62
cv_baseline_v62,2024,19,lgb_reg,tsunoda,14,10,baseline_v62
cv_baseline_v62,2024,19,lgbm_ranker,tsunoda,14,10,baseline_v62
cv_baseline_v62,2024,19,ensemble,tsunoda,14,10,baseline_v62
cv_baseline_v62,2024,19,ensemble_test,tsunoda,14,10,baseline_v62
cv_baseline_v62,2024,20,ridge,piastri,8,15,baseline_v62
cv_baseline_v62,2024,20,rf_reg,kevin_magnussen,7,12,baseline_v62
cv_baseline_v62,2024,20,rf_clf,alonso,18,2,baseline_v62
cv_baseline_v62,2024,20,xgb_reg,kevin_magnussen,7,12,baseline_v62
cv_baseline_v62,2024,20,xgb_clf,alonso,18,2,baseline_v62
cv_baseline_v62,2024,20,xgb_ranker,alonso,18,2,baseline_v62
cv_baseline_v62,2024,20,lgb_reg,kevin_magnussen,7,12,baseline_v62
cv_baseline_v62,2024,20,lgbm_ranker,stroll,11,18,baseline_v62
cv_baseline_v62,2024,20,ensemble,alonso,18,2,baseline_v62
cv_baseline_v62,2024,20,ensemble_test,alonso,18,2,baseline_v62
cv_baseline_v62,2024,21,ridge,ocon,2,2,baseline_v62
cv_baseline_v62,2024,21,rf_reg,perez,11,18,baseline_v62
cv_baseline_v62,2024,21,rf_clf,stroll,19,1,baseline_v62
cv_baseline_v62,2024,21,xgb_reg,piastri,8,15,baseline_v62
cv_baseline_v62,2024,21,xgb_clf,tsunoda,7,12,baseline_v62
cv_baseline_v62,2024,21,xgb_ranker,tsunoda,7,12,baseline_v62
cv_baseline_v62,2024,21,lgb_reg,perez,11,18,baseline_v62
cv_baseline_v62,2024,21,lgbm_ranker,tsunoda,7,12,baseline_v62
cv_baseline_v62,2024,21,ensemble,tsunoda,7,12,baseline_v62
cv_baseline_v62,2024,21,ensemble_test,tsunoda,7,12,baseline_v62
cv_baseline_v62,2024,22,ridge,perez,10,25,baseline_v62
cv_baseline_v62,2024,22,rf_reg,perez,10,25,baseline_v62
cv_baseline_v62,2024,22,rf_clf,kevin_magnussen,12,15,baseline_v62
cv_baseline_v62,2024,22,xgb_reg,gasly,20,0,baseline_v62
cv_baseline_v62,2024,22,xgb_clf,ocon,17,4,baseline_v62
cv_baseline_v62,2024,22,xgb_ranker,hulkenberg,8,15,baseline_v62
cv_baseline_v62,2024,22,lgb_reg,perez,10,25,baseline_v62
cv_baseline_v62,2024,22,lgbm_ranker,stroll,15,8,baseline_v62
cv_baseline_v62,2024,22,ensemble,hulkenberg,8,15,baseline_v62
cv_baseline_v62,2024,22,ensemble_test,hulkenberg,8,15,baseline_v62
cv_baseline_v62,2024,23,ridge,alonso,7,12,baseline_v62
cv_baseline_v62,2024,23,rf_reg,alonso,7,12,baseline_v62
cv_baseline_v62,2024,23,rf_clf,gasly,5,8,baseline_v62
cv_baseline_v62,2024,23,xgb_reg,alonso,7,12,baseline_v62
cv_baseline_v62,2024,23,xgb_clf,stroll,18,2,baseline_v62
