circuit_id,year,avg_pit_stops,pit_stop_variance,n_races
yas_marina,2011,2.0,,1
yas_marina,2012,1.4285714285714286,,1
yas_marina,2013,1.9523809523809523,,1
yas_marina,2014,2.05,,1
yas_marina,2015,2.210526315789474,,1
yas_marina,2016,1.85,,1
yas_marina,2017,1.1,,1
yas_marina,2018,1.0588235294117647,,1
yas_marina,2019,1.3157894736842106,,1
yas_marina,2020,1.2105263157894737,,1
yas_marina,2021,1.6111111111111112,,1
yas_marina,2022,1.55,,1
yas_marina,2023,1.85,,1
yas_marina,2024,1.4736842105263157,,1
zandvoort,2021,1.45,,1
zandvoort,2022,3.6,,1
zandvoort,2023,5.315789473684211,,1
zandvoort,2024,1.3,,1
