eval_label,year,round,model,picked,actual_pos,fantasy_pts,candidate
cv_A_pts2_2024cv,2024,19,xgb_ranker,lawson,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,19,lgb_reg,kevin_magnussen,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,19,lgbm_ranker,tsunoda,14,10,A_pts2_2024cv
cv_A_pts2_2024cv,2024,19,ensemble,alonso,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,19,ensemble_test,alonso,13,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,ridge,kevin_magnussen,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,rf_reg,kevin_magnussen,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,rf_clf,hulkenberg,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,xgb_reg,kevin_magnussen,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,xgb_clf,stroll,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,xgb_ranker,hulkenberg,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,lgb_reg,piastri,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,lgbm_ranker,albon,19,1,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,ensemble,hulkenberg,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,20,ensemble_test,hulkenberg,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,ridge,tsunoda,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,rf_reg,perez,11,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,rf_clf,stroll,19,1,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,xgb_reg,piastri,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,xgb_clf,tsunoda,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,xgb_ranker,tsunoda,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,lgb_reg,alonso,14,10,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,lgbm_ranker,lawson,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,ensemble,tsunoda,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,21,ensemble_test,tsunoda,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,ridge,hulkenberg,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,rf_reg,tsunoda,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,rf_clf,kevin_magnussen,12,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,xgb_reg,gasly,20,0,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,xgb_clf,stroll,15,8,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,xgb_ranker,hulkenberg,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,lgb_reg,perez,10,25,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,lgbm_ranker,ocon,17,4,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,ensemble,hulkenberg,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,22,ensemble_test,hulkenberg,8,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,ridge,alonso,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,rf_reg,alonso,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,rf_clf,stroll,18,2,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,xgb_reg,hamilton,12,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,xgb_clf,stroll,18,2,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,xgb_ranker,albon,15,8,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,lgb_reg,alonso,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,lgbm_ranker,albon,15,8,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,ensemble,alonso,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,23,ensemble_test,alonso,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,ridge,gasly,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,rf_reg,hamilton,4,6,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,rf_clf,alonso,9,18,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,xgb_reg,gasly,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,xgb_clf,stroll,14,10,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,xgb_ranker,tsunoda,12,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,lgb_reg,leclerc,3,4,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,lgbm_ranker,tsunoda,12,15,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,ensemble,gasly,7,12,A_pts2_2024cv
cv_A_pts2_2024cv,2024,24,ensemble_test,gasly,7,12,A_pts2_2024cv
cv_B_dominant_ranker,2024,1,ridge,piastri,8,15,B_dominant_ranker
cv_B_dominant_ranker,2024,1,rf_reg,hamilton,7,12,B_dominant_ranker
cv_B_dominant_ranker,2024,1,rf_clf,tsunoda,14,10,B_dominant_ranker
cv_B_dominant_ranker,2024,1,xgb_reg,piastri,8,15,B_dominant_ranker
cv_B_dominant_ranker,2024,1,xgb_clf,kevin_magnussen,12,15,B_dominant_ranker
cv_B_dominant_ranker,2024,1,xgb_ranker,kevin_magnussen,12,15,B_dominant_ranker
cv_B_dominant_ranker,2024,1,lgb_reg,norris,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,1,lgbm_ranker,stroll,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,1,ensemble,piastri,8,15,B_dominant_ranker
cv_B_dominant_ranker,2024,1,ensemble_test,piastri,8,15,B_dominant_ranker
cv_B_dominant_ranker,2024,2,ridge,stroll,19,1,B_dominant_ranker
cv_B_dominant_ranker,2024,2,rf_reg,stroll,19,1,B_dominant_ranker
cv_B_dominant_ranker,2024,2,rf_clf,tsunoda,15,8,B_dominant_ranker
cv_B_dominant_ranker,2024,2,xgb_reg,russell,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,2,xgb_clf,tsunoda,15,8,B_dominant_ranker
cv_B_dominant_ranker,2024,2,xgb_ranker,kevin_magnussen,12,15,B_dominant_ranker
cv_B_dominant_ranker,2024,2,lgb_reg,bearman,7,12,B_dominant_ranker
cv_B_dominant_ranker,2024,2,lgbm_ranker,kevin_magnussen,12,15,B_dominant_ranker
cv_B_dominant_ranker,2024,2,ensemble,stroll,19,1,B_dominant_ranker
cv_B_dominant_ranker,2024,2,ensemble_test,stroll,19,1,B_dominant_ranker
cv_B_dominant_ranker,2024,3,ridge,hamilton,18,2,B_dominant_ranker
cv_B_dominant_ranker,2024,3,rf_reg,alonso,8,15,B_dominant_ranker
cv_B_dominant_ranker,2024,3,rf_clf,albon,11,18,B_dominant_ranker
cv_B_dominant_ranker,2024,3,xgb_reg,stroll,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,3,xgb_clf,albon,11,18,B_dominant_ranker
cv_B_dominant_ranker,2024,3,xgb_ranker,albon,11,18,B_dominant_ranker
cv_B_dominant_ranker,2024,3,lgb_reg,russell,17,4,B_dominant_ranker
cv_B_dominant_ranker,2024,3,lgbm_ranker,albon,11,18,B_dominant_ranker
cv_B_dominant_ranker,2024,3,ensemble,hamilton,18,2,B_dominant_ranker
cv_B_dominant_ranker,2024,3,ensemble_test,hamilton,18,2,B_dominant_ranker
cv_B_dominant_ranker,2024,4,ridge,russell,7,12,B_dominant_ranker
cv_B_dominant_ranker,2024,4,rf_reg,russell,7,12,B_dominant_ranker
cv_B_dominant_ranker,2024,4,rf_clf,tsunoda,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,4,xgb_reg,russell,7,12,B_dominant_ranker
cv_B_dominant_ranker,2024,4,xgb_clf,tsunoda,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,4,xgb_ranker,alonso,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,4,lgb_reg,ricciardo,19,1,B_dominant_ranker
cv_B_dominant_ranker,2024,4,lgbm_ranker,alonso,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,4,ensemble,tsunoda,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,4,ensemble_test,tsunoda,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,5,ridge,stroll,15,8,B_dominant_ranker
cv_B_dominant_ranker,2024,5,rf_reg,stroll,15,8,B_dominant_ranker
cv_B_dominant_ranker,2024,5,rf_clf,hulkenberg,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,5,xgb_reg,russell,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,5,xgb_clf,stroll,15,8,B_dominant_ranker
cv_B_dominant_ranker,2024,5,xgb_ranker,hulkenberg,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,5,lgb_reg,stroll,15,8,B_dominant_ranker
cv_B_dominant_ranker,2024,5,lgbm_ranker,alonso,7,12,B_dominant_ranker
cv_B_dominant_ranker,2024,5,ensemble,stroll,15,8,B_dominant_ranker
cv_B_dominant_ranker,2024,5,ensemble_test,stroll,15,8,B_dominant_ranker
cv_B_dominant_ranker,2024,6,ridge,stroll,17,4,B_dominant_ranker
cv_B_dominant_ranker,2024,6,rf_reg,hamilton,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,6,rf_clf,hulkenberg,11,18,B_dominant_ranker
cv_B_dominant_ranker,2024,6,xgb_reg,russell,8,15,B_dominant_ranker
cv_B_dominant_ranker,2024,6,xgb_clf,stroll,17,4,B_dominant_ranker
cv_B_dominant_ranker,2024,6,xgb_ranker,hulkenberg,11,18,B_dominant_ranker
cv_B_dominant_ranker,2024,6,lgb_reg,hamilton,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,6,lgbm_ranker,hamilton,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,6,ensemble,stroll,17,4,B_dominant_ranker
cv_B_dominant_ranker,2024,6,ensemble_test,stroll,17,4,B_dominant_ranker
cv_B_dominant_ranker,2024,7,ridge,tsunoda,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,7,rf_reg,hamilton,6,10,B_dominant_ranker
cv_B_dominant_ranker,2024,7,rf_clf,ocon,14,10,B_dominant_ranker
cv_B_dominant_ranker,2024,7,xgb_reg,tsunoda,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,7,xgb_clf,tsunoda,10,25,B_dominant_ranker
cv_B_dominant_ranker,2024,7,xgb_ranker,ocon,14,10,B_dominant_ranker
cv_B_dominant_ranker,2024,7,lgb_reg,tsunoda,10,25,B_dominant_ranker
